ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,95.05,256,13.94,98.625,255,14.01,176570420
4096,2048,87.59,256,13.99,73.770,255,14.04,277241908
8192,4096,78.13,256,13.34,77.421,255,13.39,0
