ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,148.91,256,15.24,78.901,255,15.31,176570420
4096,2048,125.60,256,14.56,68.424,255,14.62,277241908
8192,4096,107.28,256,13.43,76.608,255,13.48,0
